电影名,导演,评分,评价人数,评价
三块广告牌,"
                            导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...",8.7,769888人评价,Jared Leto的腿比女人还美！
达拉斯买家俱乐部,"
                            2000 / 中国香港 / 剧情 爱情
                        ",8.8,423945人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
你的名字。,"
                            导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...",8.5,1293440人评价,当这个世界闭上双眼，他却敞开了怀抱。
卢旺达饭店,"
                            2003 / 美国 / 动作 科幻
                        ",8.9,304361人评价,老少皆宜，这就是好莱坞动画的魅力。
疯狂原始人,"
                            导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...",8.7,788699人评价,故事的反转与反转，分裂电影的始祖。
惊魂记,"
                            2015 / 美国 / 喜剧 动画 冒险
                        ",9.0,260183人评价,被上帝抛弃了的上帝之城。
电影名,导演,评分,评价人数,评价
肖申克的救赎,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...",9.7,2684600人评价,希望让人自由。
霸王别姬,"
                            1994 / 美国 / 犯罪 剧情
                        ",9.6,1991373人评价,风华绝代。
阿甘正传,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...",9.5,2015987人评价,一部美国近现代史。
泰坦尼克号,"
                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性
                        ",9.4,1975078人评价,失去的才是永恒的。 
这个杀手不太冷,"
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...",9.4,2159776人评价,怪蜀黍和小萝莉不得不说的故事。
美丽人生,"
                            1994 / 美国 / 剧情 爱情
                        ",9.6,1237711人评价,最美的谎言。
千与千寻,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...",9.4,2092204人评价,最好的宫崎骏，最好的久石让。 
辛德勒的名单,"
                            1997 / 美国 墨西哥 澳大利亚 加拿大 / 剧情 爱情 灾难
                        ",9.6,1032635人评价,拯救一个人，就是拯救整个世界。
盗梦空间,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...",9.4,1929025人评价,诺兰给了我们一场无法盗取的梦。
星际穿越,"
                            1994 / 法国 美国 / 剧情 动作 犯罪
                        ",9.4,1631239人评价,爱是一种力量，让我们超越时空感知它的存在。
忠犬八公的故事,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...",9.4,1316327人评价,永远都不能忘记你所爱的人。
楚门的世界,"
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ",9.3,1550526人评价,如果再也不能见到你，祝你早安，午安，晚安。
海上钢琴师,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...",9.3,1570999人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,"
                            2001 / 日本 / 剧情 动画 奇幻
                        ",9.2,1747362人评价,英俊版憨豆，高情商版谢耳朵。
机器人总动员,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...",9.3,1235198人评价,小瓦力，大人生。
放牛班的春天,"
                            1993 / 美国 / 剧情 历史 战争
                        ",9.3,1218694人评价,天籁一般的童声，是最接近上帝的存在。 
无间道,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...",9.3,1249158人评价,香港电影史上永不过时的杰作。
疯狂动物城,"
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
                        ",9.2,1773017人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
大话西游之大圣娶亲,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...",9.2,1433189人评价,一生所爱。
熔炉,"
                            2014 / 美国 英国 加拿大 / 剧情 科幻 冒险
                        ",9.3,872339人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
控方证人,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...",9.6,485193人评价,比利·怀德满分作品。
教父,"
                            2009 / 美国 英国 / 剧情
                        ",9.3,893319人评价,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...",9.2,1422814人评价,平民励志片。 
触不可及,"
                            1998 / 美国 / 剧情 科幻
                        ",9.3,1008273人评价,满满温情的高雅喜剧。
怦然心动,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...",9.1,1709788人评价,真正的幸福是来自内心深处。
龙猫,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...",9.2,1182229人评价,人人心中都有个龙猫，童年就永远不会消失。
末代皇帝,"
                            1988 / 日本 / 动画 奇幻 冒险
                        ",9.3,802907人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...",9.1,1531856人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
蝙蝠侠：黑暗骑士,"
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
                        ",9.2,986489人评价,无尽的黑暗。
活着,"
                            导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...",9.3,773371人评价,张艺谋最好的电影。
哈利·波特与魔法石,"
                            2017 / 美国 / 喜剧 动画 奇幻 音乐
                        ",9.2,1079992人评价,童话世界的开端。
指环王3：王者无敌,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",9.3,746309人评价,史诗的终章。
乱世佳人,"
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",9.3,643357人评价,Tomorrow is another day.
素媛,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang",9.3,634856人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
飞屋环游记,"
                            1994 / 中国大陆 中国香港 / 剧情 历史 家庭
                        ",9.1,1237115人评价,最后那些最无聊的事情，才是最值得怀念的。 
我不是药神,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint",9.0,1959955人评价,对我们国家而言，这样的电影多一部是一部。
摔跤吧！爸爸,"
                            2001 / 美国 英国 / 奇幻 冒险
                        ",9.0,1469870人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
何以为家,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",9.1,968226人评价,凝视卑弱生命，用电影改变命运。
十二怒汉,"
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",9.4,447198人评价,1957年的理想主义。 
哈尔的移动城堡,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...",9.1,941217人评价,带着心爱的人在天空飞翔。
少年派的奇幻漂流,"
                            1939 / 美国 / 剧情 历史 爱情 战争
                        ",9.1,1270010人评价,瑰丽壮观、无人能及的冒险之旅。
鬼子来了,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...",9.3,579603人评价,对敌人的仁慈，就是对自己残忍。
猫鼠游戏,"
                            2013 / 韩国 / 剧情
                        ",9.1,920860人评价,骗子大师和执著警探的你追我跑故事。 
大话西游之月光宝盒,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...",9.0,1142002人评价,旷古烁今。
让子弹飞,"
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        ",9.0,1569837人评价,你给我翻译翻译，神马叫做TMD的惊喜。
天空之城,"
                            导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...",9.1,766995人评价,对天空的追逐，永不停止。 
钢琴家,"
                            2018 / 中国大陆 / 剧情 喜剧
                        ",9.3,570230人评价,音乐能化解仇恨。
指环王2：双塔奇兵,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...",9.2,697319人评价,承前启后的史诗篇章。
闻香识女人,"
                            2016 / 印度 / 剧情 传记 运动 家庭
                        ",9.1,814427人评价,史上最美的探戈。
海蒂和爷爷,"
                            导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...",9.3,521076人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
天堂电影院,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...",9.2,641560人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
罗马假日,"
                            1988 / 意大利 法国 / 剧情 爱情
                        ",9.1,894242人评价,爱情哪怕只有一天。
黑客帝国,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...",9.1,783342人评价,视觉革命。
指环王1：护戒使者,"
                            1953 / 美国 / 喜剧 剧情 爱情
                        ",9.1,787222人评价,传说的开始。
大闹天宫,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...",9.4,397937人评价,经典之作，历久弥新。
死亡诗社,"
                            1999 / 美国 / 动作 科幻
                        ",9.1,659781人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
教父2,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",9.3,507004人评价,优雅的孤独。
绿皮书,"
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ",8.9,1510814人评价,去除成见，需要勇气。
辩护人,"
                            导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...",9.2,553526人评价,电影的现实意义大过电影本身。
狮子王,"
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装
                        ",9.1,776813人评价,动物版《哈姆雷特》。
搏击俱乐部,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...",9.0,791690人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
饮食男女,"
                            1989 / 美国 / 剧情
                        ",9.2,570077人评价,人生不能像做菜，把所有的料都准备好了才下锅。
美丽心灵,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",9.1,717114人评价,爱是一切逻辑和原由。
本杰明·巴顿奇事,"
                            1974 / 美国 / 剧情 犯罪
                        ",9.0,919404人评价,在时间之河里感受溺水之苦。
窃听风暴,"
                            导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...",9.2,525928人评价,别样人生。
穿条纹睡衣的男孩,"
                            2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐
                        ",9.2,513230人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...",8.9,1012510人评价,暗恋的极致。
两杆大烟枪,"
                            2013 / 韩国 / 剧情
                        ",9.1,558675人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...",8.9,910562人评价,美丽无罪。
看不见的客人,"
                            1994 / 美国 / 动画 冒险 歌舞
                        ",8.8,1163223人评价,你以为你以为的就是你以为的。
音乐之声,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...",9.1,559257人评价,用音乐化解仇恨，让歌声串起美好。
拯救大兵瑞恩,"
                            1999 / 美国 德国 意大利 / 剧情 动作 悬疑 惊悚
                        ",9.1,603707人评价,美利坚精神输出大片No1.
飞越疯人院,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...",9.1,517336人评价,自由万岁。
小鞋子,"
                            1994 / 中国台湾 美国 / 剧情 家庭
                        ",9.2,380194人评价,奔跑的孩子是天使。
阿凡达,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...",8.8,1291468人评价,绝对意义上的美轮美奂。
哈利·波特与死亡圣器(下),"
                            导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...",8.9,761101人评价,10年的完美句点。
沉默的羔羊,"
                            2011 / 美国 英国 / 奇幻 冒险
                        ",8.9,818900人评价,安东尼·霍普金斯的顶级表演。
致命魔术,"
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...",8.9,800276人评价,孪生蝙蝠侠大战克隆金刚狼。
禁闭岛,"
                            1991 / 美国 / 剧情 犯罪 惊悚
                        ",8.9,900320人评价,昔日翩翩少年，今日大腹便便。
布达佩斯大饭店,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...",8.9,854759人评价,小清新的故事里注入了大历史的情怀。
海豚湾,"
                            2006 / 英国 美国 / 剧情 悬疑 惊悚
                        ",9.3,341216人评价,海豚的微笑，是世界上最高明的伪装。
蝴蝶效应,"
                            导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...",8.9,872309人评价,人的命运被自己瞬间的抉择改变。
美国往事,"
                            2010 / 美国 / 剧情 悬疑 惊悚
                        ",9.2,385104人评价,往事如烟，无处祭奠。
心灵捕手,"
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...",8.9,659512人评价,人生中应该拥有这样的一段豁然开朗。
低俗小说,"
                            2014 / 美国 德国 英国 / 剧情 喜剧 冒险
                        ",8.9,774975人评价,故事的高级讲法。
春光乍泄,"
                            导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...",9.0,586585人评价,爱情纠缠，男女一致。
摩登时代,"
                            2009 / 美国 / 纪录片
                        ",9.3,276894人评价,大时代中的人生，小人物的悲喜。
喜剧之王,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...",8.8,898895人评价,我是一个演员。
七宗罪,"
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
                        ",8.8,888821人评价,警察抓小偷，老鼠玩死猫。
功夫,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...",8.8,1015128人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
哈利·波特与阿兹卡班的囚徒,"
                            1984 / 美国 意大利 / 犯罪 剧情
                        ",8.9,651568人评价,不一样的导演，不一样的哈利·波特。
致命ID,"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...",8.8,758326人评价,最不可能的那个人永远是最可能的。
超脱,"
                            1997 / 美国 / 剧情
                        ",9.0,522674人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
杀人回忆,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...",8.9,651340人评价,关于连环杀人悬案的集体回忆。
加勒比海盗,"
                            1994 / 美国 / 剧情 喜剧 犯罪
                        ",8.8,802910人评价,约翰尼·德普的独角戏。
红辣椒,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...",9.1,418482人评价,梦的勾结。
被嫌弃的松子的一生,"
                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性
                        ",8.9,664637人评价,以戏谑来戏谑戏谑。
狩猎,"
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...",9.1,357611人评价,人言可畏。
请以你的名字呼唤我,"
                            1936 / 美国 / 剧情 喜剧 爱情
                        ",8.9,665412人评价,沉醉在电影的情感和视听氛围中无法自拔。
7号房的礼物,"
                            导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...",8.9,514976人评价,《我是山姆》的《美丽人生》。
剪刀手爱德华,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...",8.7,983756人评价,浪漫忧郁的成人童话。
断背山,"
                            1990 / 美国 / 剧情 奇幻 爱情
                        ",8.8,667346人评价,每个人心中都有一座断背山。
勇敢的心,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...",8.9,533565人评价,史诗大片的典范。
唐伯虎点秋香,"
                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
                        ",8.7,996073人评价,华太师是黄霑，吴镇宇四大才子之一。
哈利·波特与密室,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...",8.8,677662人评价,魔法的密室之门已打开...
一一,"
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        ",9.1,350123人评价,我们都曾经是一一。
入殓师,"
                            导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...",8.9,620230人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
第六感,"
                            1993 / 中国香港 / 喜剧 爱情 古装
                        ",8.9,517425人评价,深入内心的恐怖，出人意料的结局。
爱在黎明破晓前,"
                            导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...",8.8,619407人评价,缘分是个连绵词，最美不过一瞬。
重庆森林,"
                            2002 / 英国 美国 / 奇幻 冒险
                        ",8.8,750271人评价,寂寞没有期限。
蝙蝠侠：黑暗骑士崛起,"
                            导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...",8.8,672163人评价,诺兰就是保证。
天使爱美丽,"
                            2000 / 中国台湾 日本 / 剧情 爱情 家庭
                        ",8.7,917840人评价,法式小清新。 
幽灵公主,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...",8.9,489878人评价,人与自然的战争史诗。
菊次郎的夏天,"
                            2008 / 日本 / 剧情
                        ",8.9,551937人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
小森林 夏秋篇,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...",9.0,397589人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
阳光灿烂的日子,"
                            1999 / 美国 / 剧情 悬疑 惊悚
                        ",8.9,574607人评价,一场华丽的意淫。
超能陆战队,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",8.7,941486人评价,Balalala~~~
完美的世界,"
                            1995 / 美国 奥地利 瑞士 / 剧情 爱情
                        ",9.1,288471人评价,坏人的好总是比好人的好来得更感人。
爱在日落黄昏时,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...",8.9,510133人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
无人知晓,"
                            1994 / 中国香港 / 剧情 爱情
                        ",9.1,292987人评价,我的平常生活就是他人的幸福。
消失的爱人,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",8.7,863679人评价,年度最佳date movie。
借东西的小人阿莉埃蒂,"
                            2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",8.9,511890人评价,曾经的那段美好会沉淀为一辈子的记忆。
甜蜜蜜,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...",8.9,491497人评价,相逢只要一瞬间，等待却像是一辈子。
倩女幽魂,"
                            2001 / 法国 德国 / 剧情 喜剧 爱情
                        ",8.8,683413人评价,两张绝世的脸。 
小森林 冬春篇,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...",9.0,354640人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
侧耳倾听,"
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...",8.9,429587人评价,少女情怀总是诗。
时空恋旅人,"
                            1995 / 日本 / 剧情 爱情 动画
                        ",8.8,605352人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
幸福终点站,"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...",8.8,524657人评价,有时候幸福需要等一等。 
驯龙高手,"
                            2013 / 英国 / 喜剧 爱情 奇幻
                        ",8.8,706016人评价,和谐的生活离不开摸头与被摸头。
萤火之森,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",8.9,492878人评价,触不到的恋人。
教父3,"
                            2004 / 美国 / 喜剧 剧情 爱情
                        ",9.0,342110人评价,任何信念的力量，都无法改变命运。
怪兽电力公司,"
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...",8.8,618701人评价,不要给它起名字，起了名字就有感情了。
玛丽和马克思,"
                            2010 / 美国 / 动画 奇幻 冒险
                        ",8.9,402537人评价,你是我最好的朋友，你是我唯一的朋友 。
一个叫欧维的男人决定去死,"
                            导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...",8.9,426165人评价,惠及一生的美丽。
寄生虫,"
                            2011 / 日本 / 剧情 爱情 动画 奇幻
                        ",8.8,1277591人评价,跨度十五年的欢乐与泪水。
玩具总动员3,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",8.9,475675人评价,爱是摈弃傲慢与偏见之后的曙光。
傲慢与偏见,"
                            1990 / 美国 / 剧情 犯罪
                        ",8.7,735504人评价,好的剧本是，就算你猜到了结局也猜不到全部。
未麻的部屋,"
                            导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...",9.1,296165人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
大鱼,"
                            2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险
                        ",8.8,534268人评价,Mr. I Don't Care其实也有Care的时候。
神偷奶爸,"
                            导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...",8.6,889244人评价,没有一人完全善，也没有一人完全恶。
告白,"
                            2009 / 澳大利亚 美国 / 剧情 喜剧 动画
                        ",8.8,635063人评价,揭露人性的丧尸题材力作。
釜山行,"
                            导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...",8.6,1111943人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
被解救的姜戈,"
                            2015 / 瑞典 / 剧情
                        ",8.8,565821人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
阳光姐妹淘,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...",8.8,563569人评价,百看不厌。 
射雕英雄传之东成西就,"
                            2019 / 韩国 / 剧情
                        ",8.7,592698人评价,想你时你在闹海。
哈利·波特与火焰杯,"
                            导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...",8.7,590290人评价,爱并不需要智商 。
哪吒闹海,"
                            2010 / 美国 / 喜剧 动画 奇幻 冒险
                        ",9.1,238482人评价,恐怖分子的“秋菊打官司”。
我是山姆,"
                            导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...",9.0,313264人评价,要做就做得狠一点，这样才能活下去。
头号玩家,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...",8.7,1276294人评价,写给影迷，动漫迷和游戏迷的一封情书。
血战钢锯岭,"
                            2018 / 美国 / 动作 科幻 冒险
                        ",8.7,737877人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
模仿游戏,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...",8.8,598480人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
喜宴,"
                            2016 / 澳大利亚 美国 / 剧情 传记 历史 战争
                        ",9.0,327834人评价,中国家庭的喜怒哀乐忍。
