电影名,导演,评分,评价人数,评价
七武士,"
                            导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...",9.3,181932人评价,时代悲歌。
花样年华,"
                            2014 / 英国 美国 / 剧情 传记 战争 同性
                        ",8.7,553768人评价,偷情本没有这样美。
黑客帝国3：矩阵革命,"
                            导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...",8.8,418657人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
头脑特工队,"
                            1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭
                        ",8.8,563478人评价,愿我们都不用长大，每一座城堡都能永远存在。
电锯惊魂,"
                            导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...",8.8,491318人评价,真相就在眼前。
九品芝麻官,"
                            1954 / 日本 / 动作 冒险 剧情
                        ",8.7,609853人评价,怼天怼地，你走后，她与世界为敌。
三块广告牌,"
                            导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...",8.7,769889人评价,Jared Leto的腿比女人还美！
达拉斯买家俱乐部,"
                            2000 / 中国香港 / 剧情 爱情
                        ",8.8,423945人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
你的名字。,"
                            导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...",8.5,1293443人评价,当这个世界闭上双眼，他却敞开了怀抱。
卢旺达饭店,"
                            2003 / 美国 / 动作 科幻
                        ",8.9,304361人评价,老少皆宜，这就是好莱坞动画的魅力。
疯狂原始人,"
                            导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...",8.7,788701人评价,故事的反转与反转，分裂电影的始祖。
惊魂记,"
                            2015 / 美国 / 喜剧 动画 冒险
                        ",9.0,260183人评价,被上帝抛弃了的上帝之城。
上帝之城,"
                            导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...",9.0,283553人评价,像吃了苏打饼一样干脆的电影。
谍影重重3,"
                            2004 / 美国 / 悬疑 惊悚 恐怖
                        ",8.8,392172人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
心迷宫,"
                            导演: 王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...",8.7,477967人评价,英雄泪短，兄弟情长。 
英雄本色,"
                            1994 / 中国香港 中国大陆 / 剧情 喜剧 古装
                        ",8.6,495590人评价,动画片的圣经。
风之谷,"
                            导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...",8.9,335551人评价,香港浪漫主义警匪动作片的巅峰之作。
纵横四海,"
                            2017 / 美国 英国 / 剧情 犯罪
                        ",8.8,391158人评价,是枝裕和的家庭习作。
海街日记,"
                            导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...",8.8,412337人评价,假戏真情，爱欲深海
色，戒,"
                            2013 / 美国 / 剧情 传记 同性
                        ",8.6,707436人评价,岁月流逝，来日可追。
记忆碎片,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...",8.7,565292人评价,一个针管引发的血案。
忠犬八公物语,"
                            2000 / 美国 / 犯罪 剧情 悬疑 惊悚
                        ",9.2,179676人评价,养狗三日，便会对你终其一生。
爱在午夜降临前,"
                            导演: Seijirô Kôyama   主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...",8.9,361112人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
绿里奇迹,"
                            1987 / 日本 / 剧情
                        ",8.9,298480人评价,天使暂时离开。
荒蛮故事,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",8.8,411381人评价,始于荒诞，止于更荒诞。
茶馆,"
                            2013 / 美国 希腊 / 剧情 爱情
                        ",9.5,113142人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
爆裂鼓手,"
                            导演: Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...",8.7,540519人评价,我们组成了家。
小偷家族,"
                            1999 / 美国 / 犯罪 剧情 奇幻 悬疑
                        ",8.7,767551人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
贫民窟的百万富翁,"
                            导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...",8.6,704320人评价,迪士尼和皮克斯拿错剧本的产物。
无敌破坏王,"
                            2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪
                        ",8.7,498820人评价,中国版《两杆大烟枪》。
疯狂的石头,"
                            导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...",8.5,759730人评价,电影诗。
东邪西毒,"
                            1982(中国大陆) / 中国大陆 / 剧情 历史
                        ",8.6,541356人评价,爱，是个动词。
真爱至上,"
                            导演: 达米恩·查泽雷 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...",8.6,681896人评价,松鼠才是角儿。
冰川时代,"
                            2014 / 美国 / 剧情 音乐
                        ",8.6,573855人评价,骨灰级歌舞片。
雨中曲,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...",9.1,202433人评价,不要企图在重复中寻找已经失去的爱。
恐怖游轮,"
                            2018 / 日本 / 剧情 犯罪 家庭
                        ",8.5,784926人评价,感情不分食草或者食肉。
你看起来好像很好吃,"
                            导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...",8.9,311990人评价,黑暗之美。
黑天鹅,"
                            2008 / 英国 / 剧情 爱情
                        ",8.6,744302人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
2001太空漫游,"
                            导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...",8.9,290739人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
魔女宅急便,"
                            2012 / 美国 / 喜剧 动画 奇幻 冒险
                        ",8.7,426019人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
无间道2,"
                            导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin",8.7,428747人评价,用剩余不多的时间，去燃烧整个生命。
雨人,"
                            2006 / 中国大陆 中国香港 / 喜剧 犯罪
                        ",8.7,379424人评价,弱者送给弱者的一刀。
遗愿清单,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...",8.7,411168人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
大佛普拉斯,"
                            导演: 黄信尧 Hsin-yao Huang   主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...",8.7,411513人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
可可西里,"
                            2017 / 中国台湾 / 剧情 喜剧
                        ",8.9,280979人评价,坚硬的信仰。
城市之光,"
                            导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...",9.3,132759人评价,永远的小人物，伟大的卓别林。
背靠背，脸对脸,"
                            2004 / 中国大陆 中国香港 / 剧情 犯罪
                        ",9.5,110065人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
小丑,"
                            导演: Charles Chaplin   主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...",8.7,936672人评价,幸福是生生不息，却难以触及的远。 
东京教父,"
                            1931 / 美国 / 喜剧 剧情 爱情
                        ",9.0,196952人评价,永远看不腻的喜剧。
源代码,"
                            导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N...",8.5,783711人评价,黑小鸭速效美白记。
萤火虫之墓,"
                            1994 / 中国大陆 中国香港 / 剧情
                        ",8.7,385531人评价,对爱的执着，可以超越一切。
虎口脱险,"
                            导演: 托德·菲利普斯 Todd Phillips   主演: 杰昆·菲尼克斯 Joaquin Phoeni...",8.9,235458人评价,我们都有权利不与自己的过去和解。
初恋这件小事,"
                            2019 / 美国 加拿大 / 剧情 犯罪 惊悚
                        ",8.5,932678人评价,人生的N种可能性。
人工智能,"
                            导演: 今敏 Satoshi Kon   主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...",8.7,413540人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
海边的曼彻斯特,"
                            2003 / 日本 / 剧情 喜剧 动画
                        ",8.6,473294人评价,少见的超越首部的续集，动作片中的经典。
罗生门,"
                            导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...",8.8,291152人评价,世界不完美，爱会有奇迹。
青蛇,"
                            2011 / 美国 加拿大 / 科幻 悬疑 惊悚
                        ",8.6,486883人评价,有一些东西不应该被遗忘。
终结者2：审判日,"
                            导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子",8.8,318502人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
波西米亚狂想曲,"
                            1988 / 日本 / 动画 剧情 战争
                        ",8.6,557359人评价,嬉笑怒骂，调风动月。
心灵奇旅,"
                            导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...",8.7,889007人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
奇迹男孩,"
                            1966 / 法国 英国 / 喜剧 战争
                        ",8.6,522216人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
二十二,"
                            导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...",8.7,277589人评价,一部能引人思考的科幻励志片。
疯狂的麦克斯4：狂暴之路,"
                            2010 / 泰国 / 剧情 喜剧 爱情
                        ",8.6,489871人评价,每个美丽事物背后都是滴血的现实。
彗星来的那一夜,"
                            导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...",8.5,522509人评价,小成本大魅力。
黑客帝国2：重装上阵,"
                            2013 / 美国 英国 / 科幻 悬疑 惊悚
                        ",8.7,379150人评价,一个精彩的世界观正在缓缓建立。
魂断蓝桥,"
                            导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...",8.8,258604人评价,中国式内在的美国电影。
步履不停,"
                            2003 / 美国 / 动作 科幻
                        ",8.8,258393人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
崖上的波妞,"
                            导演: 茂文·勒鲁瓦 Mervyn LeRoy   主演: 费雯·丽 Vivien Leigh / 罗伯特·...",8.6,448582人评价,做一颗让别人需要你的棋子。
战争之王,"
                            1940 / 美国 / 剧情 爱情 战争
                        ",8.7,339453人评价,谁说王家卫镜头很晃？
爱乐之城,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...",8.4,815305人评价,传奇，不是每个人都可以拥有。
谍影重重2,"
                            2008 / 日本 / 剧情 家庭
                        ",8.7,329063人评价,没有了退路，只好飞向自由。
燃情岁月,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...",8.8,269372人评价,王家卫是一种风格，张国荣是一个代表。
末路狂花,"
                            2008 / 日本 / 动画 奇幻 冒险
                        ",8.9,220612人评价,爱我就给我看你的播放列表。
火星救援,"
                            导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...",8.5,667114人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
阿飞正传,"
                            2005 / 法国 德国 美国 / 剧情 犯罪
                        ",8.5,472149人评价,爱情是一场没有尽头的虚幻追逐。
再次出发之纽约遇见你,"
                            导演: 达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Gosling /...",8.6,400730人评价,大海啊，不全是水。
谍影重重,"
                            2016 / 美国 / 剧情 爱情 歌舞
                        ",8.6,396036人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
千年女优,"
                            导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...",8.8,236944人评价,爱上未来的你。 
海洋,"
                            2004 / 美国 德国 / 动作 悬疑 惊悚
                        ",9.1,151061人评价,一个单凭体香达到高潮的男人。
朗读者,"
                            导演: 爱德华·兹威克 Edward Zwick   主演: 布拉德·皮特 Brad Pitt / 安东...",8.6,432387人评价,天使保护事件始末。
穿越时空的少女,"
                            1994 / 美国 / 剧情 爱情 战争 西部
                        ",8.6,359921人评价,你要相信，这世上真的有爱存在，不管在什么年纪 
香水,"
                            导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...",8.5,514736人评价,来啊，互相伤害啊！
地球上的星星,"
                            1991 / 美国 英国 法国 / 犯罪 剧情 惊悚
                        ",8.9,192306人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
我爱你,"
                            导演: 雷德利·斯科特 Ridley Scott   主演: 马特·达蒙 Matt Damon / 杰西卡...",9.1,154863人评价,最忠于原著的一部。
上帝之城,"
                            导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...",9.0,283554人评价,像吃了苏打饼一样干脆的电影。
谍影重重3,"
                            2004 / 美国 / 悬疑 惊悚 恐怖
                        ",8.8,392173人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
心迷宫,"
                            导演: 王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...",8.7,477967人评价,英雄泪短，兄弟情长。 
英雄本色,"
                            1994 / 中国香港 中国大陆 / 剧情 喜剧 古装
                        ",8.6,495594人评价,动画片的圣经。
风之谷,"
                            导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...",8.9,335551人评价,香港浪漫主义警匪动作片的巅峰之作。
纵横四海,"
                            2017 / 美国 英国 / 剧情 犯罪
                        ",8.8,391164人评价,是枝裕和的家庭习作。
海街日记,"
                            导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...",8.8,412339人评价,假戏真情，爱欲深海
色，戒,"
                            2013 / 美国 / 剧情 传记 同性
                        ",8.6,707446人评价,岁月流逝，来日可追。
记忆碎片,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...",8.7,565292人评价,一个针管引发的血案。
忠犬八公物语,"
                            2000 / 美国 / 犯罪 剧情 悬疑 惊悚
                        ",9.2,179676人评价,养狗三日，便会对你终其一生。
爱在午夜降临前,"
                            导演: Seijirô Kôyama   主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...",8.9,361113人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
绿里奇迹,"
                            1987 / 日本 / 剧情
                        ",8.9,298480人评价,天使暂时离开。
荒蛮故事,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",8.8,411381人评价,始于荒诞，止于更荒诞。
茶馆,"
                            2013 / 美国 希腊 / 剧情 爱情
                        ",9.5,113142人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
爆裂鼓手,"
                            导演: Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...",8.7,540520人评价,我们组成了家。
小偷家族,"
                            1999 / 美国 / 犯罪 剧情 奇幻 悬疑
                        ",8.7,767551人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
贫民窟的百万富翁,"
                            导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...",8.6,704322人评价,迪士尼和皮克斯拿错剧本的产物。
无敌破坏王,"
                            2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪
                        ",8.7,498820人评价,中国版《两杆大烟枪》。
疯狂的石头,"
                            导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...",8.5,759730人评价,电影诗。
东邪西毒,"
                            1982(中国大陆) / 中国大陆 / 剧情 历史
                        ",8.6,541356人评价,爱，是个动词。
真爱至上,"
                            导演: 达米恩·查泽雷 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...",8.6,681900人评价,松鼠才是角儿。
冰川时代,"
                            2014 / 美国 / 剧情 音乐
                        ",8.6,573855人评价,骨灰级歌舞片。
雨中曲,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...",9.1,202433人评价,不要企图在重复中寻找已经失去的爱。
恐怖游轮,"
                            2018 / 日本 / 剧情 犯罪 家庭
                        ",8.5,784929人评价,感情不分食草或者食肉。
你看起来好像很好吃,"
                            导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...",8.9,311990人评价,黑暗之美。
黑天鹅,"
                            2008 / 英国 / 剧情 爱情
                        ",8.6,744302人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
2001太空漫游,"
                            导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...",8.9,290742人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
魔女宅急便,"
                            2012 / 美国 / 喜剧 动画 奇幻 冒险
                        ",8.7,426023人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
无间道2,"
                            导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin",8.7,428747人评价,用剩余不多的时间，去燃烧整个生命。
雨人,"
                            2006 / 中国大陆 中国香港 / 喜剧 犯罪
                        ",8.7,379426人评价,弱者送给弱者的一刀。
遗愿清单,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...",8.7,411168人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
大佛普拉斯,"
                            导演: 黄信尧 Hsin-yao Huang   主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...",8.7,411515人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
可可西里,"
                            2017 / 中国台湾 / 剧情 喜剧
                        ",8.9,280986人评价,坚硬的信仰。
城市之光,"
                            导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...",9.3,132760人评价,永远的小人物，伟大的卓别林。
背靠背，脸对脸,"
                            2004 / 中国大陆 中国香港 / 剧情 犯罪
                        ",9.5,110065人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
小丑,"
                            导演: Charles Chaplin   主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...",8.7,936672人评价,幸福是生生不息，却难以触及的远。 
东京教父,"
                            1931 / 美国 / 喜剧 剧情 爱情
                        ",9.0,196952人评价,永远看不腻的喜剧。
源代码,"
                            导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N...",8.5,783714人评价,黑小鸭速效美白记。
萤火虫之墓,"
                            1994 / 中国大陆 中国香港 / 剧情
                        ",8.7,385531人评价,对爱的执着，可以超越一切。
虎口脱险,"
                            导演: 托德·菲利普斯 Todd Phillips   主演: 杰昆·菲尼克斯 Joaquin Phoeni...",8.9,235458人评价,我们都有权利不与自己的过去和解。
初恋这件小事,"
                            2019 / 美国 加拿大 / 剧情 犯罪 惊悚
                        ",8.5,932686人评价,人生的N种可能性。
人工智能,"
                            导演: 今敏 Satoshi Kon   主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...",8.7,413542人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
海边的曼彻斯特,"
                            2003 / 日本 / 剧情 喜剧 动画
                        ",8.6,473299人评价,少见的超越首部的续集，动作片中的经典。
罗生门,"
                            导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...",8.8,291152人评价,世界不完美，爱会有奇迹。
青蛇,"
                            2011 / 美国 加拿大 / 科幻 悬疑 惊悚
                        ",8.6,486887人评价,有一些东西不应该被遗忘。
终结者2：审判日,"
                            导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子",8.8,318503人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
波西米亚狂想曲,"
                            1988 / 日本 / 动画 剧情 战争
                        ",8.6,557361人评价,嬉笑怒骂，调风动月。
心灵奇旅,"
                            导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...",8.7,889007人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
奇迹男孩,"
                            1966 / 法国 英国 / 喜剧 战争
                        ",8.6,522216人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
二十二,"
                            导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...",8.7,277589人评价,一部能引人思考的科幻励志片。
疯狂的麦克斯4：狂暴之路,"
                            2010 / 泰国 / 剧情 喜剧 爱情
                        ",8.6,489873人评价,每个美丽事物背后都是滴血的现实。
彗星来的那一夜,"
                            导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...",8.5,522511人评价,小成本大魅力。
黑客帝国2：重装上阵,"
                            2013 / 美国 英国 / 科幻 悬疑 惊悚
                        ",8.7,379150人评价,一个精彩的世界观正在缓缓建立。
魂断蓝桥,"
                            导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...",8.8,258604人评价,中国式内在的美国电影。
步履不停,"
                            2003 / 美国 / 动作 科幻
                        ",8.8,258394人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
崖上的波妞,"
                            导演: 茂文·勒鲁瓦 Mervyn LeRoy   主演: 费雯·丽 Vivien Leigh / 罗伯特·...",8.6,448582人评价,做一颗让别人需要你的棋子。
战争之王,"
                            1940 / 美国 / 剧情 爱情 战争
                        ",8.7,339453人评价,谁说王家卫镜头很晃？
爱乐之城,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...",8.4,815305人评价,传奇，不是每个人都可以拥有。
谍影重重2,"
                            2008 / 日本 / 剧情 家庭
                        ",8.7,329065人评价,没有了退路，只好飞向自由。
燃情岁月,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...",8.8,269372人评价,王家卫是一种风格，张国荣是一个代表。
末路狂花,"
                            2008 / 日本 / 动画 奇幻 冒险
                        ",8.9,220612人评价,爱我就给我看你的播放列表。
火星救援,"
                            导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...",8.5,667117人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
阿飞正传,"
                            2005 / 法国 德国 美国 / 剧情 犯罪
                        ",8.5,472151人评价,爱情是一场没有尽头的虚幻追逐。
再次出发之纽约遇见你,"
                            导演: 达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Gosling /...",8.6,400734人评价,大海啊，不全是水。
谍影重重,"
                            2016 / 美国 / 剧情 爱情 歌舞
                        ",8.6,396038人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
千年女优,"
                            导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...",8.8,236944人评价,爱上未来的你。 
海洋,"
                            2004 / 美国 德国 / 动作 悬疑 惊悚
                        ",9.1,151061人评价,一个单凭体香达到高潮的男人。
朗读者,"
                            导演: 爱德华·兹威克 Edward Zwick   主演: 布拉德·皮特 Brad Pitt / 安东...",8.6,432391人评价,天使保护事件始末。
穿越时空的少女,"
                            1994 / 美国 / 剧情 爱情 战争 西部
                        ",8.6,359921人评价,你要相信，这世上真的有爱存在，不管在什么年纪 
香水,"
                            导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...",8.5,514736人评价,来啊，互相伤害啊！
地球上的星星,"
                            1991 / 美国 英国 法国 / 犯罪 剧情 惊悚
                        ",8.9,192306人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
我爱你,"
                            导演: 雷德利·斯科特 Ridley Scott   主演: 马特·达蒙 Matt Damon / 杰西卡...",9.1,154863人评价,最忠于原著的一部。
电影名,导演,评分,评价人数,评价
电影名,导演,年份，国家，类别,评分,评价人数,评价
电影名,导演,年份，国家，类别,评分,评价人数,评价
电影名,导演,年份，国家，类别,评分,评价人数,评价
电影名,导演,评分,评价人数,评价
肖申克的救赎,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...",9.7,2684629人评价,希望让人自由。
霸王别姬,"
                            1994 / 美国 / 犯罪 剧情
                        ",9.6,1991411人评价,风华绝代。
阿甘正传,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...",9.5,2016057人评价,一部美国近现代史。
